candidate,weight,seed,season,group,n,champion_brier,candidate_brier,gain,target_mean,prediction_mean,prediction_std,logloss,auc,outside_max_abs_diff
lgb,0.1,43,2022,R,217024,0.24828303927859774,0.24827549202766833,7.547250929412774e-06,0.5036908360365674,0.5002704705497975,0.04096254648936131,0.6896862624183862,0.5469391649744402,0.0
lgb,0.1,43,2022,F,30448,0.20641711337104868,0.20640897968941788,8.13368163080086e-06,0.7087493431424067,0.7026020241991218,0.03394111699193964,0.6031907814781807,0.5244757603328898,0.0
lgb,0.1,43,2022,0-2,15595,0.24553331305874085,0.2454901445339503,4.316852479055444e-05,0.5218339211285669,0.5232550298965859,0.07049902434825002,0.6839225990033786,0.5608003128809318,0.0
lgb,0.1,43,2022,1-2,23740,0.24545244465670835,0.24541742175216008,3.502290454826529e-05,0.5291491154170177,0.5231817855784836,0.07071946105197788,0.6838071585694859,0.5626682280330426,0.0
lgb,0.1,43,2022,2-2,20240,0.24306230604159304,0.2430434852893252,1.8820752267834084e-05,0.5267786561264822,0.5222328912600793,0.07453504669251451,0.6788642608028912,0.5818843411825206,0.0
lgb,0.25,43,2022,all,247472,0.24313201729617934,0.24311772897581865,1.4288320360683615e-05,0.5289204435249241,0.5253008258721154,0.07731566521429027,0.6790301250985138,0.5809579821385197,0.0
lgb,0.25,43,2022,slice,59575,0.2446615883773926,0.24460223530619993,5.9353071192674856e-05,0.5264288711707931,0.5234446067441797,0.07046434265379972,0.6820996442029666,0.5689559639412802,0.0
lgb,0.25,43,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
lgb,0.25,43,2022,R,217024,0.24828303927859774,0.24826817001043489,1.4869268162853722e-05,0.5036908360365674,0.5005453007513742,0.04091049567025788,0.6896713729103564,0.5469776666575332,0.0
lgb,0.25,43,2022,F,30448,0.20641711337104868,0.20640696586833854,1.0147502710139422e-05,0.7087493431424067,0.7017506118614656,0.03395554064904641,0.603182576322984,0.524782681783656,0.0
lgb,0.25,43,2022,0-2,15595,0.24553331305874085,0.24544480337301652,8.850968572432505e-05,0.5218339211285669,0.5238005299625565,0.06903023225174426,0.6838310238433093,0.5614412119120048,0.0
lgb,0.25,43,2022,1-2,23740,0.24545244465670835,0.24538355933438905,6.888532231930089e-05,0.5291491154170177,0.5236287789608557,0.06933072381073195,0.6837285879740086,0.5625517187834759,0.0
lgb,0.25,43,2022,2-2,20240,0.24306230604159304,0.24303659887185142,2.5707169741623348e-05,0.5267786561264822,0.5229543463185634,0.07283449806911572,0.6788549806349984,0.5819388551399151,0.0
lgb,0.5,43,2022,all,247472,0.24313201729617934,0.2431193079467564,1.2709349422934668e-05,0.5289204435249241,0.5255279286474465,0.07682815955491025,0.6790335393221884,0.5809101058658841,0.0
lgb,0.5,43,2022,slice,59575,0.2446615883773926,0.2446087942838904,5.279409350220088e-05,0.5264288711707931,0.524387981952182,0.06823413281456024,0.6821138267419721,0.5688396132111094,0.0
lgb,0.5,43,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
lgb,0.5,43,2022,R,217024,0.24828303927859774,0.24826663027280688,1.6409005790862796e-05,0.5036908360365674,0.5010033510873356,0.04094989604455071,0.6896681238580459,0.5469125997159265,0.0
lgb,0.5,43,2022,F,30448,0.20641711337104868,0.20643077403685162,-1.3660665802939231e-05,0.7087493431424067,0.7003315912987053,0.03433006967110587,0.6032334843330298,0.5249653056903371,0.0
lgb,0.5,43,2022,0-2,15595,0.24553331305874085,0.2454209991081324,0.00011231395060845584,0.5218339211285669,0.5247096967391744,0.06688833219948435,0.6837868338133725,0.5622289345454448,0.0
lgb,0.5,43,2022,1-2,23740,0.24545244465670835,0.2453769138089079,7.553084780045904e-05,0.5291491154170177,0.5243737679314757,0.06731640396129791,0.6837046882789386,0.5620304752019177,0.0
lgb,0.5,43,2022,2-2,20240,0.24306230604159304,0.2430820407385361,-1.97346969430523e-05,0.5267786561264822,0.5241567714160367,0.07029785361027402,0.6789588070697351,0.5816538490810026,0.0
cat,0.1,43,2022,all,247472,0.24313201729617934,0.24312559975766473,6.417538514602583e-06,0.5289204435249241,0.5251647122170213,0.07764800982775709,0.6790469529077889,0.5809124750979064,0.0
cat,0.1,43,2022,slice,59575,0.2446615883773926,0.24463493019709429,2.665818029831679e-05,0.5264288711707931,0.5228791964470176,0.07195009506009829,0.6821695462024117,0.5687715708240058,0.0
cat,0.1,43,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
cat,0.1,43,2022,R,217024,0.24828303927859774,0.24827567935515804,7.359923439698157e-06,0.5036908360365674,0.5002732759302259,0.04095410355354403,0.6896865974707673,0.5469255249539791,0.0
cat,0.1,43,2022,F,30448,0.20641711337104868,0.20641741286307766,-2.9949202898227334e-07,0.7087493431424067,0.7025832312890621,0.033988554116738415,0.6032108315981526,0.5243571611312534,0.0
cat,0.1,43,2022,0-2,15595,0.24553331305874085,0.2455100688336623,2.3244225078544734e-05,0.5218339211285669,0.5231765218431137,0.07012411437240228,0.6839637134953398,0.5604222297459477,0.0
cat,0.1,43,2022,1-2,23740,0.24545244465670835,0.24542983216130163,2.2612495406720834e-05,0.5291491154170177,0.5232260151006983,0.07070107123325657,0.6838367548146914,0.5625941029398815,0.0
cat,0.1,43,2022,2-2,20240,0.24306230604159304,0.24302827211075248,3.403393084056017e-05,0.5267786561264822,0.5222433138190287,0.07473336596806082,0.6788316227148256,0.5820551832442564,0.0
cat,0.25,43,2022,all,247472,0.24313201729617934,0.2431222918624964,9.725433682938878e-06,0.5289204435249241,0.5253011958973769,0.07730709941640915,0.6790402112324071,0.5809067489787348,0.0
cat,0.25,43,2022,slice,59575,0.2446615883773926,0.24462118934215327,4.0399035239335745e-05,0.5264288711707931,0.5234461438132778,0.07042533286703999,0.6821415415714408,0.5687441651293812,0.0
