season,candidate_a,candidate_b,positive_row_jaccard,positive_row_overlap_share,gain_correlation
2022,team_nn,groupdro,0.5269673285110927,0.35090838559513804,0.5323474121238502
2022,team_nn,lupi_aux,0.4558708166885915,0.3052708993340661,0.3797523841466164
2022,team_nn,lupi_distill,0.4378405763804205,0.3003289261007306,0.3529757233439671
2022,team_nn,two_strike,0.1241393514976755,0.06819357341436608,0.11402375510539968
2022,ft_transformer,tabm,0.5283535959627667,0.35368041637033687,0.5177422362704213
2022,ft_transformer,xgb_hist,0.4401875040435706,0.30242613305747723,0.3515540440210713
2022,ft_transformer,hard_weight,0.336650529986693,0.23717026572703173,0.06985301137423273
2022,ft_transformer,uncertainty_0p5,0.25483693762252985,0.204326145988233,-0.3135874188609617
2022,ft_transformer,role_state,0.3025322921219334,0.23215959785349455,-0.0920793564786231
2022,ft_transformer,groupdro,0.5126275741288725,0.3430125428331286,0.5135989693288573
2022,ft_transformer,lupi_aux,0.5111016010472259,0.32816641882718045,0.5771820417669878
2022,ft_transformer,lupi_distill,0.535936265056432,0.34250743518458654,0.656844082376556
2022,ft_transformer,two_strike,0.12005199101973296,0.06568823947759747,0.10968332182028603
2022,tabm,xgb_hist,0.47529265997673914,0.3286189952802741,0.33429173579674176
2022,tabm,hard_weight,0.26049235895367173,0.2009197000064654,-0.23586566755039529
2022,tabm,uncertainty_0p5,0.2323314807787454,0.1954443330962695,-0.26517135927503066
2022,tabm,role_state,0.26953819491132924,0.21870353009633414,-0.19888856603747024
2022,tabm,groupdro,0.7566272277969148,0.44911747591646733,0.7950713136427894
2022,tabm,lupi_aux,0.46121442393920803,0.3158902825370143,0.2749880129109919
2022,tabm,lupi_distill,0.5154584286250167,0.3442652098015129,0.47414676786988097
2022,tabm,two_strike,0.12932648660916932,0.07368106290812698,0.06061256376047546
2022,xgb_hist,hard_weight,0.37460867918498747,0.25579055408288615,0.19439419192901514
2022,xgb_hist,uncertainty_0p5,0.26516414122108223,0.21022984418439258,-0.2509044562950243
2022,xgb_hist,role_state,0.2813407670284791,0.21879646990366586,-0.16281614767173275
