model,season,subset,n,history_median,champion_brier,candidate_brier,champion_bss,candidate_bss,delta_bss,two_sigma_bss,prediction_correlation,residual_correlation
auxiliary,2023,count_2-0,8774,2187.0,0.251983567484034,0.25192463089942746,-818.367345279003,-794.7868781228884,23.580467156124573,12.989777953869876,0.9998135684414545,0.9999956832920787
auxiliary,2023,count_2-1,13479,2187.0,0.25071076018689853,0.25066150684848065,-288.1067590528197,-268.40467662998526,19.702082422806395,10.025721243960835,0.9998278074092916,0.9999960268346971
auxiliary,2023,count_2-2,20380,2187.0,0.25204906543957495,0.25197561646182204,-822.5633841249413,-793.1829370993571,29.380447025570387,7.883145199156082,0.9998235095233785,0.9999964777081035
auxiliary,2023,count_3-0,2858,2187.0,0.2561781196405343,0.25610284573494946,-2532.7562325807353,-2502.628597079193,30.127635501564434,27.700403645976465,0.9998099485445945,0.9999949595803218
auxiliary,2023,count_3-1,5807,2187.0,0.25252288510815807,0.2524525248069107,-1166.4812954541137,-1138.2933389564976,28.187956497626743,16.422053858090568,0.9998443812886283,0.999995729125948
auxiliary,2023,count_3-2,11896,2187.0,0.24995124658076637,0.2499323895738797,-455.4819293948409,-447.903292598828,7.578636796014255,11.078800099940482,0.9998437289673181,0.9999961714882157
auxiliary,2024,linked_pitcher,69206,2598.0,0.24721248057205064,0.24723209786234052,1086.7369283740325,1078.8877688546418,-7.849159519398356,4.647602359197738,0.9995776263002747,0.9999956342105867
auxiliary,2024,unlinked_pitcher,184301,2598.0,0.2478207771096416,0.24782199842391375,770.8568733154508,770.3678506833401,-0.489022632114129,3.380450440535222,0.9992370285168627,0.9999937880339529
auxiliary,2024,high_history_pitcher,40659,2598.0,0.24700618529712365,0.2470142191788306,1188.8494220965385,1185.635587211742,-3.213834884809043,5.600757371619486,0.9996700432030157,0.9999962807893932
auxiliary,2024,low_history_pitcher,28547,2598.0,0.24750630337596197,0.24754241871541896,704.3671931661888,689.8782874837806,-14.488905682407138,7.976047576756995,0.9992605316935889,0.9999947238824607
auxiliary,2024,cold_start,81,2598.0,0.24383886225108126,0.24443267326526052,-999.1651028626425,-1245.124324076685,-245.9592212140425,299.53444997293144,0.9979176959676889,0.9999894804063395
auxiliary,2024,non_cold_start,253426,2598.0,0.24765593516336545,0.24766199067835337,861.3387896321267,858.9147183154178,-2.4240713167036985,2.7648511542169016,0.999347697282289,0.9999942947424116
auxiliary,2024,matchup_1/1,30493,2598.0,0.24583036273588307,0.24582666730911507,822.6362957786781,824.1271721722065,1.4908763935048956,7.831306229668507,0.9995098099151729,0.9999940218770996
auxiliary,2024,matchup_1/2,41337,2598.0,0.24775279912512468,0.24775296582063988,879.70159630959,879.6349051994667,-0.06669111013911985,5.927610708368358,0.9993685384830191,0.9999957274286572
auxiliary,2024,matchup_2/1,89268,2598.0,0.2482458866205681,0.24825669634621336,700.2883379931268,695.9643886446321,-4.323949348495991,4.240525891146516,0.9992809976227943,0.9999952819793746
auxiliary,2024,matchup_2/2,92409,2598.0,0.24764176062253632,0.24764959054170543,710.4538890224221,707.3145593777252,-3.139329644684855,5.217818616226932,0.9992339128729011,0.9999930574149032
auxiliary,2024,count_0-0,65317,2598.0,0.24769970837945193,0.24770592467908237,845.5660981566471,843.0777073755169,-2.488390781144123,5.528746403890354,0.9993314245865519,0.9999942696561106
auxiliary,2024,count_0-1,31402,2598.0,0.247739758453802,0.24776770809397614,903.6588637241994,892.478958267684,-11.179905456506644,7.720336240016277,0.9993789329399791,0.9999944554120905
auxiliary,2024,count_0-2,16155,2598.0,0.249464621711545,0.24943032750367433,190.4399310019178,204.16087378329894,13.72094278139304,11.0956378603753,0.9993120544954538,0.999995005502414
auxiliary,2024,count_1-0,26438,2598.0,0.24733665447887554,0.2473510255551489,905.4407180599688,899.6829969784903,-5.75772108147526,8.770681995472444,0.9992633212639285,0.9999937667038351
