season,top_pct,feature,value,all_value
2022,0,same_hand,0.2433853786055393,0.24313201729617934
2022,0,late_inning,0.2429369007808935,0.24313201729617934
2023,1,target,0.0,0.49995723449750534
2023,1,prediction,0.7120742572970274,0.5106073131883817
2023,1,pitcher_history,2011.9714983713354,3880.774377354648
2023,1,batter_history,931.7084690553746,4619.956802769575
2023,1,inning,5.162052117263844,4.997584767335302
2023,1,cold_pitcher,0.0,0.0002565930149679259
2023,1,cold_batter,0.004071661237785016,0.00028917625496385297
2023,1,cur_p_succ,0.531728084522635,0.4968077071733461
2023,1,cur_b_succ,0.5296627569803369,0.4954030276337132
2023,5,target,0.03926040563655616,0.49995723449750534
2023,5,prediction,0.6622318258738434,0.5106073131883817
2023,5,pitcher_history,1803.4554044147594,3880.774377354648
2023,5,batter_history,1410.859900627189,4619.956802769575
2023,5,inning,4.819418424696587,4.997584767335302
2023,5,cold_pitcher,0.001547609350818604,0.0002565930149679259
2023,5,cold_batter,0.0018734218457277837,0.00028917625496385297
2023,5,cur_p_succ,0.47916368660092395,0.4968077071733461
2023,5,cur_b_succ,0.49850231127013145,0.4954030276337132
2023,10,target,0.2952388710137254,0.49995723449750534
2023,10,prediction,0.5783353210557676,0.5106073131883817
2023,10,pitcher_history,2920.223435018124,3880.774377354648
2023,10,batter_history,3062.504256099051,4619.956802769575
2023,10,inning,4.873009408218955,4.997584767335302
2023,10,cold_pitcher,0.0008145644116808536,0.0002565930149679259
2023,10,cold_batter,0.0010182055146010672,0.00028917625496385297
2023,10,cur_p_succ,0.476310456565674,0.4968077071733461
2023,10,cur_b_succ,0.49546222480515384,0.4954030276337132
2023,20,target,0.4628245596171469,0.49995723449750534
2023,20,prediction,0.5324345702608543,0.5106073131883817
2023,20,pitcher_history,3427.5297016597087,3880.774377354648
2023,20,batter_history,4092.8910294267384,4619.956802769575
2023,20,inning,4.973872314428266,4.997584767335302
2023,20,cold_pitcher,0.000468384074941452,0.0002565930149679259
2023,20,cold_batter,0.0005294776499338153,0.00028917625496385297
2023,20,cur_p_succ,0.48604687378972455,0.4968077071733461
2023,20,cur_b_succ,0.49567137154609225,0.4954030276337132
2023,0,pitcher_cold,0.27337499680414673,0.2523470643919594
2023,0,pitcher_low_lt100,0.26278201058611145,0.2523470643919594
2023,0,batter_cold,0.27027942371419866,0.2523470643919594
2023,0,batter_low_lt100,0.27295112965858037,0.2523470643919594
2023,0,game_F,0.28646178324087057,0.2523470643919594
2023,0,same_hand,0.25269562474563734,0.2523470643919594
2023,0,late_inning,0.2522874799371223,0.2523470643919594
2024,1,target,0.7882492113564669,0.4861049201797189
2024,1,prediction,0.43137777548638995,0.4897167404896388
2024,1,pitcher_history,3714.235804416404,3928.214467450603
2024,1,batter_history,5608.464116719243,5402.548777745782
2024,1,inning,5.060331230283912,4.979862489004248
2024,1,cold_pitcher,0.0,0.00031951780424209193
2024,1,cold_batter,0.0,0.0003471304539914085
2024,1,cur_p_succ,0.43502408849140756,0.4901047721797375
2024,1,cur_b_succ,0.4800481429704371,0.4927039918099961
2024,5,target,0.6347428210792048,0.4861049201797189
2024,5,prediction,0.4734504562410245,0.4897167404896388
2024,5,pitcher_history,4422.932944146419,3928.214467450603
2024,5,batter_history,5524.55127800568,5402.548777745782
2024,5,inning,4.854607131587252,4.979862489004248
2024,5,cold_pitcher,0.0,0.00031951780424209193
2024,5,cold_batter,0.0003155569580309246,0.0003471304539914085
2024,5,cur_p_succ,0.47616725013310285,0.4901047721797375
2024,5,cur_b_succ,0.48800505242770004,0.4927039918099961
2024,10,target,0.6415920476509802,0.4861049201797189
2024,10,prediction,0.4775183073099114,0.4897167404896388
2024,10,pitcher_history,4222.892351386533,3928.214467450603
2024,10,batter_history,5438.709794485425,5402.548777745782
2024,10,inning,4.9657607194982445,4.979862489004248
2024,10,cold_pitcher,7.889235138653307e-05,0.00031951780424209193
2024,10,cold_batter,0.0003155694055461323,0.0003471304539914085
2024,10,cur_p_succ,0.48023555336005674,0.4901047721797375
