season,candidate,subgroup,n,brier_gain,correction_mean,correction_abs_mean
2024,role_state,pitcher_low_lt100,7915,-0.0003739385554530442,0.0027022788165051515,0.01147186528476042
2024,role_state,batter_low_lt100,6710,-0.00011202682033453171,-0.002251601604131913,0.00910151561606235
2024,role_state,game_F,30010,-0.00028382356125627463,0.0014941128009923043,0.011712285143723168
2024,role_state,same_hand,122902,-0.00011793912070614552,-0.0027611838349073793,0.008419951439838622
2024,role_state,late_inning,83196,-0.00016465392107356034,-0.0022182635461544566,0.008622569019830443
2024,role_state,top10_effective,25351,0.018445029814507317,-0.007210847935031822,0.01860306820372014
2024,role_state,large_abs_correction,25351,-0.0006911421315100575,-0.007760047691772147,0.02287223852635933
2024,hard_weight,all,253507,-0.020029836555864024,0.0021964094441729925,0.12126090231137311
2024,hard_weight,pitcher_low_lt100,7915,-0.031153798318246575,-0.0976100506495236,0.15593968154503654
2024,hard_weight,batter_low_lt100,6710,-0.03965119128832856,-0.1691829566228882,0.20050901807055374
2024,hard_weight,game_F,30010,-0.05131263631060574,-0.23100112899632785,0.23100112899632785
2024,hard_weight,same_hand,122902,-0.022577277569133858,0.016679588342592196,0.1303120275496139
2024,hard_weight,late_inning,83196,-0.020333274884485424,0.02660133028595704,0.12687485469188134
2024,hard_weight,top10_effective,25351,0.19413539678790098,-0.019705395886436272,0.22485178933633518
2024,hard_weight,large_abs_correction,25351,-0.06343541195516308,-0.10529883294044164,0.2544133199952941
2024,uncertainty,all,253507,-2.2875201338737698e-05,-0.0034416677826841716,0.005181235557666366
2024,uncertainty,pitcher_low_lt100,7915,-8.357347208738204e-05,-0.0036269524812624905,0.007076441220545687
2024,uncertainty,batter_low_lt100,6710,0.00012378019053916226,-0.00568408208512322,0.006873236888907646
2024,uncertainty,game_F,30010,-3.763730501052382e-05,-0.0049401628645156,0.006727368821416302
2024,uncertainty,same_hand,122902,-2.278335155470521e-05,-0.003920086830172435,0.005455652376053142
2024,uncertainty,late_inning,83196,-4.145568240353072e-05,-0.0038111117944730688,0.005499143857264026
2024,uncertainty,top10_effective,25351,0.01100839556752016,-0.009730613584582649,0.011507863013506581
2024,uncertainty,large_abs_correction,25351,-0.00017235451557939374,-0.012043686751615056,0.013596678626439533
2024,lupi_aux,all,253507,-0.0012884007125583317,0.00967704193028044,0.024807241845026726
2024,lupi_aux,pitcher_low_lt100,7915,-0.0041588709895942965,0.0376193445639998,0.055630794692032935
2024,lupi_aux,batter_low_lt100,6710,-0.005791387145655691,0.043821597149090834,0.052105628918495385
2024,lupi_aux,game_F,30010,-0.006814220698100851,0.06965665927129491,0.07025398200311726
2024,lupi_aux,same_hand,122902,-0.0015097822335407966,0.01095686250334969,0.02727517103766997
2024,lupi_aux,late_inning,83196,-0.001282083219946295,0.010852741248002371,0.02562139519903682
2024,lupi_aux,top10_effective,25351,0.061274329625706496,0.03977498315440572,0.06171875855334914
2024,lupi_aux,large_abs_correction,25351,-0.008174487699802412,0.07168305249400894,0.08309316189997307
2024,lupi_distill,all,253507,-0.0004384737297430728,0.006333666460784645,0.015601879071461688
2024,lupi_distill,pitcher_low_lt100,7915,-0.00015938433815219756,0.011107520679918057,0.01888445704418774
2024,lupi_distill,batter_low_lt100,6710,-0.00044047837887968767,0.004875956412738915,0.016089649416800064
2024,lupi_distill,game_F,30010,-0.00041691853318854774,0.007502387048475705,0.017792154128789445
2024,lupi_distill,same_hand,122902,-0.00038658306827925906,0.007864875621622735,0.01661537895759247
2024,lupi_distill,late_inning,83196,-0.000545023716545094,0.008650663353859216,0.016956625742777495
2024,lupi_distill,top10_effective,25351,0.03629713348872201,0.01850127134294782,0.03437753113113658
2024,lupi_distill,large_abs_correction,25351,-0.0017409056426340099,0.026683183673153428,0.04304863110931332
2024,hierarchical_eb,all,253507,-0.0036660558230860517,0.038209952556401715,0.04664788807014723
2024,hierarchical_eb,pitcher_low_lt100,7915,-0.007582302980947666,0.07017084127296035,0.07552085599374807
2024,hierarchical_eb,batter_low_lt100,6710,-0.009801984210270282,0.06365694825772182,0.06657184467780088
2024,hierarchical_eb,game_F,30010,-0.008813706188135878,0.07835950776183657,0.07898234600822256
2024,hierarchical_eb,same_hand,122902,-0.004973666871572011,0.05031060325355581,0.056071376509383465
2024,hierarchical_eb,late_inning,83196,-0.004040721231559719,0.047487789270582254,0.051377769923882925
2024,hierarchical_eb,top10_effective,25351,0.09545801904285081,0.08689613508801462,0.09228610168500206
2024,hierarchical_eb,large_abs_correction,25351,-0.014215154996439872,0.11297844103654547,0.11329141755547455
