season,subgroup,n,error,target_rate,prediction_mean,error_2023_excess
2022,count_0_2,15595,0.24553331305874085,0.5218339211285669,0.5228913631859389,0.006074271201835957
2023,count_0_2,14526,0.2535732385869789,0.5017898939832025,0.5121660508374396,0.006074271201835957
2024,count_0_2,16155,0.249464621711545,0.49229340761374185,0.49107733076352467,0.006074271201835957
2022,count_1_2,23740,0.24545244465670835,0.5291491154170177,0.5228837899902355,0.005899290769069976
2024,count_1_2,24399,0.24851924638837675,0.497807287183901,0.4923268033442253,0.005899290769069976
2023,count_1_2,23456,0.2528851362916125,0.504305934515689,0.5120767057405992,0.005899290769069976
2022,pitcher_team_14,24085,0.24387450218115458,0.5374714552626115,0.5285231009765838,0.005594524762732922
2024,pitcher_team_14,24081,0.24816992303182658,0.4747311158174494,0.4815995509884959,0.005594524762732922
2023,pitcher_team_14,23769,0.2516167373692235,0.480163237830788,0.5002656553866723,0.005594524762732922
2024,pitcher_team_21,25180,0.24757303764453573,0.4780381254964257,0.4840296907960851,0.005513881516448854
2022,pitcher_team_21,23979,0.2457656868759289,0.521247758455315,0.5148647861146959,0.005513881516448854
2023,pitcher_team_21,24914,0.25218324377668117,0.4816970378100666,0.4952643236196736,0.005513881516448854
2024,count_3_2,11771,0.24659449195981312,0.45697052077138733,0.4664111651023667,0.0050542852373975655
2023,count_3_2,11896,0.24995124658076637,0.4656186953597848,0.48862241639635334,0.0050542852373975655
2022,count_3_2,11806,0.2431994307269245,0.5016940538709131,0.506966260116769,0.0050542852373975655
2023,pitcher_team_15,23112,0.25031696291604966,0.5146244375216338,0.5097915759204928,0.0032113261482214495
2024,pitcher_team_15,23302,0.2475525522287815,0.4995708522873573,0.4976018470825986,0.0032113261482214495
2022,pitcher_team_15,22765,0.24665872130687488,0.5184713375796178,0.5084364166027916,0.0032113261482214495
2024,pitcher_team_12,25413,0.2478072474543666,0.47884940778341795,0.4805736008489298,0.003145834063888492
2022,pitcher_team_12,25163,0.24467295145657714,0.5205261693756706,0.5246456428012892,0.003145834063888492
2023,pitcher_team_12,24435,0.24938593351936036,0.5185185185185185,0.51985110411605,0.003145834063888492
2022,pitcher_team_16,22697,0.24556901744859527,0.5147816892100278,0.5116948815793212,0.0020804719412709227
2023,pitcher_team_16,22547,0.24849935851627325,0.4845877500332639,0.4884972033716866,0.0020804719412709227
2024,pitcher_team_16,23457,0.24726875570140935,0.4726947179946285,0.48480475912707593,0.0020804719412709227
2023,pitcher_team_19,22705,0.24974511184438167,0.48161197974014536,0.4824661944634248,0.001492713917903482
2024,pitcher_team_19,23104,0.24800688323488387,0.48273026315789475,0.4820526931508571,0.001492713917903482
2022,pitcher_team_19,22838,0.24849791261807247,0.5006130133987214,0.4893556351104108,0.001492713917903482
2024,pitcher_team_20,22740,0.24871979567078348,0.4900175901495163,0.4917806383785003,0.0013691009052471947
2022,pitcher_team_20,21199,0.24781454938219752,0.5157318741450069,0.5110836179270325,0.0013691009052471947
2023,pitcher_team_20,21239,0.2496362734317377,0.49672771787748954,0.4982945454735256,0.0013691009052471947
2023,pitcher_team_18,22842,0.24786862856724248,0.5292443743980387,0.5259394112860707,0.0013393442300263791
2022,pitcher_team_18,23092,0.24516480056815212,0.5318725099601593,0.5317065917311541,0.0013393442300263791
2024,pitcher_team_18,22809,0.24789376810628005,0.4979174887105967,0.5083389570239344,0.0013393442300263791
2024,game_R,223497,0.24775695980089035,0.4897067969592433,0.4929705421721654,0.0003410993576801191
2023,game_R,219839,0.24836109889742417,0.5031181910398064,0.49212369190665567,0.0003410993576801191
2022,game_R,217024,0.24828303927859774,0.5036908360365674,0.5000872504154128,0.0003410993576801191
2024,pitcher_team_25,292,0.2438880698037054,0.4246575342465753,0.4461011804260619,
