season,slice,parent_left,parent_right,rows,share,target_mean,prediction_mean,brier,global_brier,excess,calibration_error
2022,game_type=F & batter_history=21_100,game_type=F,batter_history=21_100,3122,0.012615568629986423,0.709160794362588,0.7067169764664198,0.205655652228437,0.24313201729617934,-0.03747636506774232,0.00244381789616821
2022,game_type=F & batter_history=500_plus,game_type=F,batter_history=500_plus,18502,0.07476401370660116,0.7018160198897416,0.7007288953237729,0.20920338703046026,0.24313201729617934,-0.03392863026571907,0.0010871245659687112
2022,game_type=R & batter_history=0,game_type=R,batter_history=0,32,0.00012930755802676667,0.46875,0.5359886034148347,0.2591872688103469,0.24313201729617934,0.01605525151416759,-0.06723860341483467
2022,game_type=R & batter_history=101_500,game_type=R,batter_history=101_500,14810,0.059845154199262944,0.5101282916948008,0.5014762391518138,0.24861345607318122,0.24313201729617934,0.005481438777001885,0.008652052542986954
2022,game_type=R & batter_history=1_20,game_type=R,batter_history=1_20,680,0.0027477856080687915,0.4764705882352941,0.5020656665416047,0.2454286573877682,0.24313201729617934,0.002296640091588864,-0.02559507830631058
2022,game_type=R & batter_history=21_100,game_type=R,batter_history=21_100,2766,0.011177022046938644,0.5209689081706436,0.501311664242648,0.24736798304140883,0.24313201729617934,0.004235965745229497,0.019657243927995616
2022,game_type=R & batter_history=500_plus,game_type=R,batter_history=500_plus,198736,0.8030645891252344,0.5030693985991466,0.4999541501311463,0.2482791628654921,0.24313201729617934,0.0051471455693127555,0.0031152484680002646
2022,count_family=batter_ahead & pitcher_history=101_500,count_family=batter_ahead,pitcher_history=101_500,5167,0.02087912976013448,0.5715115153861041,0.5613793103749134,0.23338640294773674,0.24313201729617934,-0.009745614348442594,0.01013220501119072
2022,count_family=batter_ahead & pitcher_history=1_20,count_family=batter_ahead,pitcher_history=1_20,389,0.0015718950022628822,0.609254498714653,0.598134656654808,0.23554198467685253,0.24313201729617934,-0.007590032619326809,0.011119842059844953
2022,count_family=batter_ahead & pitcher_history=21_100,count_family=batter_ahead,pitcher_history=21_100,1333,0.005386467964052499,0.5626406601650412,0.5717536500223586,0.22961203223437304,0.24313201729617934,-0.013519985061806294,-0.009112989857317344
2022,count_family=batter_ahead & pitcher_history=500_plus,count_family=batter_ahead,pitcher_history=500_plus,40318,0.1629194413913493,0.5199662681680639,0.5200350577032767,0.24342215397636507,0.24313201729617934,0.00029013668018573746,-6.878953521283204e-05
2022,count_family=even & pitcher_history=0,count_family=even,pitcher_history=0,88,0.00035559578457360834,0.5454545454545454,0.6006841606922537,0.24624174814469993,0.24313201729617934,0.003109730848520592,-0.05522961523770831
2022,count_family=even & pitcher_history=101_500,count_family=even,pitcher_history=101_500,8811,0.03560402793043253,0.5663375326296675,0.5609558174111303,0.23484316833602187,0.24313201729617934,-0.008288848960157469,0.005381715218537142
2022,count_family=even & pitcher_history=1_20,count_family=even,pitcher_history=1_20,614,0.0024810887696385853,0.5684039087947883,0.5923922385886751,0.23179097138676966,0.24313201729617934,-0.01134104590940968,-0.023988329793886765
2022,count_family=even & pitcher_history=21_100,count_family=even,pitcher_history=21_100,2069,0.008360541798668132,0.5625906234896085,0.5749464075814388,0.23668769332116227,0.24313201729617934,-0.006444323975017069,-0.012355784091830246
2022,count_family=even & pitcher_history=500_plus,count_family=even,pitcher_history=500_plus,77727,0.3140840175858279,0.5280147181802977,0.5229762356874168,0.2440855411906206,0.24313201729617934,0.000953523894441255,0.005038482492880858
2022,count_family=pitcher_ahead & pitcher_history=101_500,count_family=pitcher_ahead,pitcher_history=101_500,2904,0.011734660890929074,0.565771349862259,0.5591117791506451,0.2344847246780375,0.24313201729617934,-0.008647292618141844,0.006659570711613827
