seed,season,weight,group,train_slice_rows,validation_slice_rows,champion_brier,candidate_brier,gain
43,2023,0.25,R,229025,58362,0.24836109889742417,0.24833863766155054,2.2461235873627583e-05
43,2023,0.25,F,229025,58362,0.28646178324087057,0.28616044298754717,0.0003013402533234011
43,2023,0.5,all,229025,58362,0.2523470643919594,0.2522598796389907,8.718475296870531e-05
43,2023,0.5,slice,229025,58362,0.25276444560208794,0.25239766522320056,0.0003667803788873769
43,2023,0.5,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
43,2023,0.5,R,229025,58362,0.24836109889742417,0.2483320511684546,2.9047728969555653e-05
43,2023,0.5,F,229025,58362,0.28646178324087057,0.28587702061595033,0.0005847626249202431
43,2024,0.1,all,287387,61194,0.24765471554060994,0.24764922891800883,5.486622601108548e-06
43,2024,0.1,slice,287387,61194,0.2486289835699724,0.2486062542625938,2.272930737859391e-05
43,2024,0.1,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
43,2024,0.1,R,287387,61194,0.24775695980089035,0.24775360738595345,3.3524149369024148e-06
43,2024,0.1,F,287387,61194,0.24689325984451227,0.24687187888634624,2.1380958166034025e-05
43,2024,0.25,all,287387,61194,0.24765471554060994,0.2476457047158776,9.010824732341716e-06
43,2024,0.25,slice,287387,61194,0.2486289835699724,0.24859165463011854,3.732893985386454e-05
43,2024,0.25,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
43,2024,0.25,R,287387,61194,0.24775695980089035,0.24775328022123727,3.6795796530819658e-06
43,2024,0.25,F,287387,61194,0.24689325984451227,0.24684454501173342,4.8714832778851136e-05
43,2024,0.5,all,287387,61194,0.24765471554060994,0.24765237966371306,2.33587689688064e-06
43,2024,0.5,slice,287387,61194,0.2486289835699724,0.2486193067855735,9.67678439889319e-06
43,2024,0.5,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
43,2024,0.5,R,287387,61194,0.24775695980089035,0.24776527216721522,-8.312366324869647e-06
43,2024,0.5,F,287387,61194,0.24689325984451227,0.24681162205440837,8.163779010389449e-05
44,2022,0.1,all,169450,59575,0.24313201729617934,0.24312299854583014,9.018750349198967e-06
44,2022,0.1,slice,169450,59575,0.2446615883773926,0.24462412487447327,3.746350291933265e-05
44,2022,0.1,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
44,2022,0.1,R,169450,59575,0.24828303927859774,0.2482739161521542,9.123126443549845e-06
44,2022,0.1,F,169450,59575,0.20641711337104868,0.20640883858146872,8.27478957995953e-06
44,2022,0.25,all,169450,59575,0.24313201729617934,0.24311457710242082,1.7440193758516687e-05
44,2022,0.25,slice,169450,59575,0.2446615883773926,0.24458914255901573,7.244581837687059e-05
44,2022,0.25,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
44,2022,0.25,R,169450,59575,0.24828303927859774,0.2482644919291172,1.854734948053549e-05
44,2022,0.25,F,169450,59575,0.20641711337104868,0.20640756464350896,9.548727539721025e-06
44,2022,0.5,all,169450,59575,0.24313201729617934,0.24311415918237742,1.7858113801921816e-05
44,2022,0.5,slice,169450,59575,0.2446615883773926,0.2445874065370436,7.418184034899133e-05
44,2022,0.5,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
44,2022,0.5,R,169450,59575,0.24828303927859774,0.24826014613506442,2.289314353332017e-05
44,2022,0.5,F,169450,59575,0.20641711337104868,0.2064351434040029,-1.8030032954224895e-05
44,2023,0.1,all,229025,58362,0.2523470643919594,0.25232546247319065,2.1601918768765493e-05
44,2023,0.1,slice,229025,58362,0.25276444560208794,0.2526735677859458,9.087781614214308e-05
44,2023,0.1,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
44,2023,0.1,R,229025,58362,0.24836109889742417,0.24834968832797458,1.141056944958807e-05
44,2023,0.1,F,229025,58362,0.28646178324087057,0.2863529565287134,0.00010882671215717288
44,2023,0.25,all,229025,58362,0.2523470643919594,0.2522975962273527,4.9468164606714105e-05
44,2023,0.25,slice,229025,58362,0.25276444560208794,0.2525563363680816,0.0002081092340063262
44,2023,0.25,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
