season,slice,axis,rows,share,target_mean,prediction_mean,brier,global_brier,excess,calibration_error
2022,batter_history=500_plus,batter_history,217238,0.8778286028318355,0.519996501532881,0.5170539868795696,0.24495110790043184,0.24313201729617934,0.0018190906042525046,0.002942514653311412
2022,matchup_novelty=established,matchup_novelty,104718,0.42315090192021726,0.5143146354972402,0.5086691509860101,0.2464428521746408,0.24313201729617934,0.003310834878461455,0.005645484511230148
2022,matchup_novelty=low_1_5,matchup_novelty,16899,0.0682865132216978,0.5270726078466181,0.5234950488413707,0.24177427127565418,0.24313201729617934,-0.001357746020525158,0.003577559005247477
2022,matchup_novelty=unseen,matchup_novelty,125855,0.5085625848580849,0.5413213618847086,0.5389351668100916,0.24055953740422525,0.24313201729617934,-0.0025724798919540826,0.0023861950746170146
2022,count_family=batter_ahead,count_family,47207,0.19075693411779918,0.5275488804626433,0.5266643156757773,0.24186880375914074,0.24313201729617934,-0.0012632135370385933,0.0008845647868659379
2022,count_family=even,count_family,89309,0.36088527186914077,0.532891421917164,0.52848099000555,0.24291992726468498,0.24313201729617934,-0.0002120900314943608,0.0044104319116139434
2022,count_family=pitcher_ahead,count_family,31161,0.12591727548975237,0.5402265652578544,0.5285334422446805,0.24324996931560833,0.24313201729617934,0.0001179520194289907,0.011693123013173934
2022,count_family=three_ball,count_family,20220,0.08170621322816318,0.5045004945598417,0.5085584497102402,0.24232956279692094,0.24313201729617934,-0.0008024544992583926,-0.004057955150398529
2022,count_family=two_strike,count_family,59575,0.2407343052951445,0.5264288711707931,0.5225012315361774,0.2446615883773926,0.24313201729617934,0.0015295710812132657,0.003927639634615621
2022,hand_matchup=opposite,hand_matchup,125612,0.5075806555893192,0.5355141228545044,0.5313794291501058,0.24288622382773198,0.24313201729617934,-0.0002457934684473584,0.004134693704398562
2022,hand_matchup=same,hand_matchup,121860,0.4924193444106808,0.5221237485639258,0.5185738679452183,0.2433853786055393,0.24313201729617934,0.0002533613093599618,0.003549880618707535
2022,inning_phase=early,inning_phase,83348,0.33679769832546713,0.534217977635936,0.531610632477429,0.24353201657836743,0.24313201729617934,0.00039999928218809044,0.002607345158507024
2022,inning_phase=extras,inning_phase,3906,0.015783603801642208,0.4792626728110599,0.4962109956353297,0.24915550760302987,0.24313201729617934,0.0060234903068505374,-0.016948322824269835
2022,inning_phase=late,inning_phase,77667,0.3138415659145277,0.5225642808399964,0.5177791849250977,0.24262415690965777,0.24313201729617934,-0.0005078603865215636,0.004785095914898729
2022,inning_phase=middle,inning_phase,82551,0.33357713195836297,0.5319014911993798,0.5267023452405118,0.2429209610924942,0.24313201729617934,-0.00021105620368513933,0.005199145958867946
2022,base_state_coarse=RISP,base_state_coarse,66322,0.2679979957328506,0.5328548596242574,0.528081372181576,0.24283095476747993,0.24313201729617934,-0.0003010625286994084,0.004773487442681357
2022,base_state_coarse=empty,base_state_coarse,131972,0.533280532747139,0.5251947382778165,0.5234749219198602,0.24339799662382894,0.24313201729617934,0.0002659793276496014,0.0017198163579562609
2022,base_state_coarse=runner_non_RISP,base_state_coarse,49178,0.19872147152001035,0.5336125909959738,0.5253080491433798,0.24282426271485882,0.24313201729617934,-0.0003077545813205129,0.008304541852593994
2022,two_outs=no,two_outs,166911,0.6744641818064265,0.5271671729244927,0.5247429090675321,0.24317611237165443,0.24313201729617934,4.4095075475092393e-05,0.0024242638569605957
2022,two_outs=yes,two_outs,80561,0.3255358181935734,0.5325529722818734,0.5257591229855211,0.2430406585352077,0.24313201729617934,-9.135876097163265e-05,0.0067938492963522945
2022,pitcher_state_available=no,pitcher_state_available,38950,0.15739154328570504,0.5438767650834403,0.543878904053769,0.24236750765422785,0.24313201729617934,-0.0007645096419514885,-2.138970328746659e-06
2022,pitcher_state_available=yes,pitcher_state_available,208522,0.842608456714295,0.526126739624596,0.5215610875078557,0.24327482069607956,0.24313201729617934,0.00014280339990022095,0.004565652116740315
2022,batter_state_available=no,batter_state_available,27278,0.11022661149544191,0.5533030280812377,0.5412107271910976,0.23872535213378313,0.24313201729617934,-0.004406665162396212,0.012092300890140018
2022,batter_state_available=yes,batter_state_available,220194,0.8897733885045581,0.5258998882803346,0.5230746441133213,0.2436779223267426,0.24313201729617934,0.0005459050305632596,0.002825244167013352
2023,game_type=F,game_type,25686,0.10461663781692292,0.47290352721326795,0.6688032494553484,0.28646178324087057,0.2523470643919594,0.03411471884891115,-0.19589972224208047
2023,game_type=R,game_type,219839,0.8953833621830771,0.5031181910398064,0.49212369190665567,0.24836109889742417,0.2523470643919594,-0.003985965494535254,0.010994499133150704
2023,pitcher_history=0,pitcher_history,63,0.0002565930149679259,0.42857142857142855,0.5946759104113765,0.27337499680414673,0.2523470643919594,0.02102793241218731,-0.16610448183994792
2023,pitcher_history=101_500,pitcher_history,19911,0.08109561144486305,0.477324092210336,0.5295038206234759,0.25905304916647054,0.2523470643919594,0.00670598477451112,-0.05217972841313989
2023,pitcher_history=1_20,pitcher_history,1259,0.005127787394359026,0.482922954725973,0.5858817340792951,0.2696406130756418,0.2523470643919594,0.01729354868368238,-0.1029587793533221
